1,5,5,1.0,1699
2,7,7,1.0,3523
3,8,8,1.0,3008
4,6,6,1.0,2106
5,4,4,1.0,758
6,3,3,1.0,1265
7,5,5,1.0,5046
8,3,3,1.0,1337
9,6,6,1.0,981
10,5,5,1.0,4426
平均,5.2,5.2,1.0,2414.9
总时间,52.0,52.0,1.0,5046
