1,11,11,1.0,3029
2,10,10,1.0,2678
3,12,12,1.0,2583
4,12,12,1.0,4486
5,7,7,1.0,2186
6,7,7,1.0,2736
7,8,8,1.0,1317
8,8,8,1.0,6472
9,10,10,1.0,2062
10,11,11,1.0,2295
11,3,3,1.0,2302
12,12,12,1.0,2570
13,13,13,1.0,2147
14,10,10,1.0,5289
15,12,12,1.0,2419
16,5,5,1.0,2830
17,13,13,1.0,2564
18,5,5,1.0,2703
19,12,12,1.0,4110
20,10,10,1.0,2001
21,9,9,1.0,2155
22,4,4,1.0,2311
23,5,5,1.0,1276
24,6,6,1.0,2736
25,4,4,1.0,1950
26,1,1,1.0,1049
27,4,4,1.0,1422
28,4,4,1.0,1881
29,3,3,1.0,1165
30,7,7,1.0,3997
平均,7.933333333333334,7.933333333333334,1.0,2624.0333333333333
总时间,238.0,238.0,1.0,6472
